"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 18, 2018","9,857.30","9,814.50","9,871.30","9,800.30","146.90M","0.54%"
"Apr 17, 2018","9,803.90","9,785.40","9,824.40","9,762.30","112.40M","0.39%"
"Apr 16, 2018","9,766.10","9,768.70","9,796.50","9,747.30","100.40M","-0.01%"
"Apr 13, 2018","9,767.30","9,764.00","9,858.90","9,744.40","137.08M","0.21%"
"Apr 12, 2018","9,747.00","9,733.00","9,767.60","9,706.10","127.53M","0.12%"
"Apr 11, 2018","9,735.80","9,742.60","9,786.30","9,717.30","122.93M","-0.28%"
"Apr 10, 2018","9,763.50","9,798.50","9,806.00","9,738.70","125.80M","0.21%"
"Apr 09, 2018","9,742.80","9,735.10","9,790.20","9,716.80","99.21M","0.62%"
"Apr 06, 2018","9,682.80","9,688.30","9,734.20","9,658.90","114.95M","-0.60%"
"Apr 05, 2018","9,740.90","9,637.50","9,761.80","9,616.70","162.49M","2.39%"
"Apr 04, 2018","9,513.30","9,555.50","9,560.40","9,417.30","151.22M","-0.38%"
"Apr 03, 2018","9,549.60","9,532.10","9,577.50","9,500.00","129.87M","-0.53%"
"Mar 29, 2018","9,600.40","9,595.60","9,657.50","9,581.70","153.27M","0.48%"
"Mar 28, 2018","9,555.00","9,397.80","9,555.00","9,348.90","177.67M","0.86%"
"Mar 27, 2018","9,473.60","9,518.20","9,519.20","9,441.60","137.67M","0.99%"
"Mar 26, 2018","9,381.00","9,418.10","9,460.60","9,343.30","159.53M","-0.13%"
"Mar 23, 2018","9,393.10","9,399.20","9,428.90","9,327.60","227.00M","-0.99%"
"Mar 22, 2018","9,487.40","9,580.40","9,648.30","9,432.60","199.76M","-1.49%"
"Mar 21, 2018","9,630.90","9,701.50","9,702.40","9,592.10","145.64M","-0.52%"
"Mar 20, 2018","9,681.60","9,676.30","9,693.20","9,608.50","129.60M","0.18%"
"Mar 19, 2018","9,664.10","9,733.90","9,747.30","9,646.00","123.28M","-0.99%"
"Mar 16, 2018","9,761.00","9,676.20","9,800.80","9,664.00","313.97M","0.79%"
"Mar 15, 2018","9,684.20","9,715.30","9,720.60","9,647.50","146.82M","-0.04%"
"Mar 14, 2018","9,688.50","9,698.90","9,737.40","9,632.20","159.02M","-0.03%"
"Mar 13, 2018","9,691.70","9,737.20","9,811.40","9,670.70","151.21M","-0.37%"
"Mar 12, 2018","9,727.50","9,747.40","9,761.30","9,702.50","110.66M","0.43%"
"Mar 09, 2018","9,686.10","9,651.00","9,704.90","9,631.50","117.28M","0.41%"
"Mar 08, 2018","9,646.20","9,617.00","9,666.40","9,564.20","144.63M","0.49%"
"Mar 07, 2018","9,599.30","9,561.30","9,612.40","9,547.10","132.06M","0.13%"
"Mar 06, 2018","9,586.80","9,663.60","9,677.00","9,586.30","143.03M","-0.04%"
"Mar 05, 2018","9,590.80","9,500.00","9,604.20","9,494.50","147.00M","0.63%"
"Mar 02, 2018","9,531.10","9,680.00","9,680.00","9,510.80","208.31M","-2.13%"
